Package;Modul;Komponent;Domain;Klasse;Anzahl der Abhängigkeiten zu anderen Modulen;Anzahl der Abhängigkeiten zu anderen Packages;Anzahl der Abhängigkeiten zu anderen Komponenten;Anzahl der Abhängigkeiten im gleichen Modul;Anzahl der Abhängigkeiten im gleichen Package;Anzahl der Abhängigkeiten in der gleichen Komponente
de.exxcellent.student.softwarearchitecture.transition.component.inspectors.resources.types;infrastructure-application;null;component;InspectorsCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.resources;common;null;resources;TechnicalResource;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.contact.dataaccess.types;domain;contact;planning;ContactDTO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.businesslogic;common;null;businesslogic;CrudLogic;0;3;0;3;0;0
de.exxcellent.student.softwarearchitecture.transition.component.processes.resources.types;infrastructure-application;null;component;ProcessType;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.entities.notification;infrastructure-dataaccess;route;navigation;NotificationEntity;1;2;0;2;1;2
de.exxcellent.student.softwarearchitecture.transition.component.locations.resources;infrastructure-application;null;component;LocationsResourceV1;6;11;4;5;0;0
de.exxcellent.student.softwarearchitecture.transition.component.processes.resources;infrastructure-application;null;component;ProcessesResourceV1;6;11;4;5;0;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RouteWaypointCategory;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.locations.resources.types;infrastructure-application;null;component;LocationsCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.api;domain;routecalculation;navigation;RouteCalculationComponent;0;3;0;3;0;3
de.exxcellent.student.softwarearchitecture.transition.components;common;null;components;BusinessComponent;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.dataaccess.types;domain;appointment;planning;AppointmentDTO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.entities;common;null;entities;CommonEntity;0;0;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;RouteCalculation;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.contact.api;domain;contact;planning;ContactComponent;2;3;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.process.data.entities;infrastructure-dataaccess;process;planning;ProcessEntity;1;1;0;2;2;2
de.exxcellent.student.softwarearchitecture.transition.resources;common;null;resources;ReadOnlyTO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.process.api;domain;process;planning;ProcessComponent;2;3;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.process.dataaccess;domain;process;planning;ProcessDataAccess;1;2;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.converter;infrastructure-application;null;component;WaypointCategoryConverter;0;1;0;1;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.dataaccess.types;domain;inspector;planning;InspectorDTO;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.dataaccess;domain;user;planning;UserPermissionDataAccess;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.planning.inspector.data.entities;infrastructure-dataaccess;inspector;planning;InspectorEntity;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.contact.facade;domain;contact;planning;ContactFacade;4;8;0;4;0;4
de.exxcellent.student.softwarearchitecture.transition.planning.contact.logic;domain;contact;planning;ContactLogic;1;3;0;2;0;2
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.data.mapper;infrastructure-dataaccess;appointment;planning;AppointmentDataAccessMapper;1;2;0;1;0;2
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.data.entities;infrastructure-dataaccess;appointment;planning;AppointmentEntity;1;1;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.logic;domain;user;planning;UserLogic;0;5;0;5;0;5
de.exxcellent.student.softwarearchitecture.transition.planning.process.data.entities;infrastructure-dataaccess;process;planning;ProcessType;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.security;infrastructure-application;null;application;JwtTokenUtil;2;2;2;0;0;0
de.exxcellent.student.softwarearchitecture.transition.component.locations.resources.mapper;infrastructure-application;null;component;LocationsMapper;3;5;1;2;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.contact.data.repository;infrastructure-dataaccess;contact;planning;ContactRepository;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.logic;domain;routecalculation;navigation;RouteCalculationLogic;0;4;0;4;0;4
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.types.route;infrastructure-application;null;component;WaypointUpdateCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.dataaccess.types.waypoint;domain;route;navigation;WaypointDTO;1;1;0;2;2;2
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.entities.waypoint;infrastructure-dataaccess;route;navigation;Category;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.types;common;null;types;Pair;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.api.types;domain;routecalculation;navigation;LocationResponseDO;0;0;0;1;1;1
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess;domain;routecalculation;navigation;RouteCalculationDataAccess;0;3;0;3;0;3
de.exxcellent.student.softwarearchitecture.transition.navigation.route.data.repository;infrastructure-dataaccess;route;navigation;WaypointRepository;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.component.appointments.resources.types;infrastructure-application;null;component;AppointmentsCTO;1;1;0;1;1;0
de.exxcellent.student.softwarearchitecture.transition.component.appointments.resources;infrastructure-application;null;component;AppointmentsResourceV1;5;9;3;4;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.appointment.data.repository;infrastructure-dataaccess;appointment;planning;AppointmentRepository;0;1;0;1;0;1
de.exxcellent.student.softwarearchitecture.transition.navigation.routecalculation.dataaccess.types;infrastructure-routecalculation;routecalculation;navigation;ModeTO;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.application.springconfiguration.security.types;infrastructure-application;null;application;UserCredentials;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.location.data.mapper;infrastructure-dataaccess;location;planning;LocationDataAccessMapper;1;2;0;1;0;2
de.exxcellent.student.softwarearchitecture.transition.planning.user.facade;domain;user;planning;UserFacade;1;7;0;6;0;6
de.exxcellent.student.softwarearchitecture.transition.component.routes.resources.converter;infrastructure-application;null;component;RouteCalculationConverter;0;1;0;1;0;0
de.exxcellent.student.softwarearchitecture.transition.planning.user.dataaccess.types;domain;user;planning;PermissionName;0;0;0;0;0;0
de.exxcellent.student.softwarearchitecture.transition.navigation.route.mapper;domain;route;navigation;RouteMapper;3;13;0;10;0;10
