Wort;Anzahl
User;85
WaypointDTO;69
Component;68
RouteMapper;56
ResponseEntity;50
Operation;48
SecurityRequirement;46
RequestMethod;39
WaypointDO;37
LocationDTO;37
NotificationDTO;35
LoggerFactory;34
NotificationChannel;33
InspectorTO;33
AppointmentTO;33
ProcessType;32
ProcessDTO;30
ContactDTO;28
HttpStatus;27
ProcessMapper;27
System;27
RouteWaypointTO;27
InspectorDTO;26
ProcessDO;25
InspectorDO;25
Status;25
LocationDO;25
ContactDO;25
AppointmentDO;25
Type;24
ErrorCategory;24
ProcessPriority;24
CurrentUser;24
RequiresPermission;23
ReadOnlyTO;23
DateTimeUtil;22
JpaRepository;21
NotificationDO;21
AppointmentDTO;20
Mapper;20
CrudDataAccess;20
UserDTO;20
LocationTO;20
WaypointEntity;19
NotificationMapper;19
AppointmentMapper;19
CommonEntity;19
CommonDTO;19
ContactMapper;19
Transactional;18
Throwable;18
Tag;18
HttpMethod;18
ErrorTO;18
WaypointStatus;18
PermissionName;18
BusinessTO;17
Serializable;16
RouteDO;16
Priority;16
CrudLogic;16
ContactTO;16
ProcessTO;16
RequestBody;16
UserComponent;15
LocationRequestDO;15
BusinessDO;15
WaypointCategory;15
Channel;15
Entity;15
RouteWaypointCategory;15
Table;15
Category;14
SecuredResource;13
RouteCTO;12
NotificationTO;12
TripDTO;12
UserPermissionDTO;12
NotificationEntity;11
HttpServletRequest;11
RestController;11
BusinessComponent;11
BusinessResource;11
HttpServletResponse;11
UserDO;11
JwtTokenUtil;10
UpdatedWaypointDO;10
RouteWaypointStatus;10
TripResponseDTO;10
InspectorsMapper;10
UserEntity;10
LocationsMapper;10
ContactEntity;9
InspectorMapper;9
JwtResponse;9
AppointmentEntity;9
NotificationComponent;9
LocationMapper;9
InspectorEntity;9
ProcessEntity;9
RouteCalculation;9
RouteCalculationDO;9
RouteComponent;9
UserPermissionId;9
ChronoUnit;9
UserPermissionEntity;9
LocationEntity;9
TripTO;8
LocationResponseDO;8
NotificationsCTO;8
EntityWithTechnicalParameters;8
UserMapper;8
&&;8
Configuration;8
Retry;8
RouteCalculationMapper;8
Modifying;8
EnumType;8
ProcesssCTO;8
ContactsCTO;8
Enumerated;8
AppointmentsCTO;8
TestRestTemplate;8
InspectorsCTO;8
RouteLogic;7
JsonMapper;7
RoutesCTO;7
Claims;7
JwtRequest;7
TripResponseTO;7
ResponseCondition;7
RouteWaypointContactTO;7
Pair;7
RouteWaypointLocationTO;7
WebRequest;7
WaypointUpdateCTO;7
LocationsCTO;7
File;7
CrossOrigin;7
FilterRegistrationBean;7
SecuritySchemeType;6
CorsFilter;6
RequestResponseLoggingFilter;6
LocationComponent;6
NotificationDataAccess;6
StringUtils;6
Date;6
WaypointDataAccess;6
ContactComponent;6
RouteCalculationConnector;6
UserDetails;6
AuthenticationUtil;6
UserDataAccess;6
SecuritySchemeIn;6
ProcessComponent;6
ByteArrayOutputStream;6
LocationResponseDTO;6
Bean;6
NotNull;6
Instant;6
Converter;6
AppointmentComponent;6
RouteCalculationDataAccess;6
SecurityScheme;6
Objects;6
UserPermissionDataAccess;6
RouteCalculationComponent;6
InspectorComponent;6
UsernamePasswordAuthenticationToken;6
UserLogic;5
InspectorDataAccess;5
AppointmentDataAccess;5
ContactDataAccess;5
AuthenticationManager;5
AppointmentLogic;5
LocationResponseTO;5
TechnicalResource;5
ContactLogic;5
JwtRequestFilter;5
LocationLogic;5
RouteCalculationLogic;5
IntegrationTest;5
NotificationLogic;5
ProcessLogic;5
ProcessDataAccess;5
LocationDataAccess;5
InspectorLogic;5
PrintStream;5
Arrays;4
WaypointRepository;4
LocalServerPort;4
DatabaseSetup;4
FilterChain;4
DTOWithTechnicalParameters;4
Void;4
Collection;4
RunWith;4
UserDetailsService;4
JSONAssert;4
UserRepository;4
Test;4
RouteWaypointsCTO;4
UserPermissionRepository;4
NotificationRepository;4
ArchRule;4
Id;4
UserPermission;4
SpringRunner;4
Ignore;4
Application;4
HashMap;4
GrantedAuthority;4
ArchTest;4
Jwts;3
LocationsResourceV1;3
LocationRepository;3
LocationDataAccessMapperImpl;3
RoutesResourceV1;3
SpringBootTest;3
NotificationChannelConverter;3
RouteCalculationConverter;3
PrintWriter;3
AuthenticationResourceV1;3
WaypointDataAccessMapperImpl;3
UserResourceV1;3
TechnicalComponent;3
ProcessRepository;3
NotificationDataAccessMapperImpl;3
RouteCalculationDataAccessMapperImpl;3
ProcessesResourceV1;3
InspectorRepository;3
Properties;3
MethodSignature;3
AppointmentRepository;3
ElementType;3
PastOrPresent;3
UserDataAccessMapperImpl;3
ContactsResourceV1;3
InspectorsResourceV1;3
ServletRequestAttributes;3
ContactRepository;3
RetentionPolicy;3
UserPermissionDataAccessMapperImpl;3
DataTransferObject;3
TeeOutputStream;3
Retention;3
ProceedingJoinPoint;3
AppointmentDataAccessMapperImpl;3
ContactDataAccessMapperImpl;3
ProcessDataAccessMapperImpl;3
DelegatingServletOutputStream;3
WebAuthenticationDetailsSource;3
AppointmentsResourceV1;3
WaypointsResourceV1;3
InspectorDataAccessMapperImpl;3
RequiresPermissionAspect;3
WaypointCategoryConverter;3
ObjectError;2
AnalyzeClasses;2
TestPropertySource;2
TestExecutionListeners;2
JwtAuthenticationSecurityEntryPoint;2
SpringApplication;2
Around;2
GeneratedValue;2
HashSet;2
UsernamePasswordAuthenticationFilter;2
MockitoTestExecutionListener;2
HttpRequestWithBody;2
Aspect;2
RequestCondition;2
TransactionalTestExecutionListener;2
EnableGlobalMethodSecurity;2
Value;2
GenerationType;2
DbUnitTestExecutionListener;2
AuthenticationEntryPoint;2
FileInputStream;2
PermissionDTO;2
Service;2
Server;2
Email;2
Info;2
SignatureAlgorithm;2
FilterConfig;2
EnableWebSecurity;2
ServletRequest;2
SessionCreationPolicy;2
OpenAPIDefinition;2
MappedSuperclass;2
Query;2
ControllerAdvice;2
JwtUserDetailsService;2
SpringBootApplication;2
HttpSecurity;2
ServletResponse;2
HttpServletResponseWrapper;2
RouteOverviewCTO;2
DirtiesContextTestExecutionListener;2
FileOutputStream;2
TimeUnit;2
PermissionEntity;2
OncePerRequestFilter;2
EnableJpaRepositories;2
FieldError;2
Authenticator;2
WebSecurityConfigurerAdapter;2
PasswordAuthentication;2
ContextConfiguration;2
EntityScan;2
RequestAttributes;2
WebMvcConfigurer;2
NotificationDataAccessMapper;1
Inherited;1
HS512;1
RouteCalculationDataAccessMapper;1
AppointmentsResourcesV1IT;1
FetchType;1
ProcessDataAccessMapper;1
WebEnvironment;1
UserPermissionDataAccessMapper;1
ArchRuleDefinition;1
JoinColumn;1
MyArchUnitAT;1
ServletOutputStream;1
LocationDataAccessMapper;1
WebSecurityConfiguration;1
AppointmentDataAccessMapper;1
InspectorDataAccessMapper;1
ReadableByteChannel;1
WaypointDataAccessMapper;1
InspectorsResourcesV1IT;1
ContactDataAccessMapper;1
UserDataAccessMapper;1
WebMvcConverterConfiguration;1
Architectures;1
Channels;1
